flow,super_class,cell_class,cell_sub_class,cell_type,region,side,cell_function,cell_function_detailed,peripheral_target_type,body_part_sensory,body_part_effector,nerve,hemilineage,neurotransmitter_verified,neuropeptide_verified,neurotransmitter_predicted,other_names,fafb_783_cell_type,manc_121_cell_type,fanc_1116_cell_type,hemibrain_121_cell_type,fafb_783_match_id,manc_121_match_id,fanc_1116_match_id,hemibrain_121_match_id
,ventral_nerve_cord_intrinsic,campaniform_sensillum_neuron,antenna_hygrosensory_receptor_neuron,,,,gustatory_tactile,contractile,chordotonal_organ,frontoorbital,neck,left_fourth_abdominal_nerve,06A,,Dh44,,,,,,,,,,
,visceral_circulatory,central_brain_intrinsic,antenna_olfactory_receptor_neuron,,,,gut_motility,cooling,CoHP3,haltere,neurohemal_complex,left_maxillary-labial_nerve,06B,,dNPF,,,,,,,,,,
,visual_centrifugal,central_complex_input_neuron,antenna_orphan_neuron,,,,haltere_motor,crop_entry,CoHP4,haustellum,pharynx,left_mesothoracic_accessory_nerve,07B,,Dsk,,,,,,,,,,
,visual_projection,central_complex_intrinsic,antenna_thermosensory_receptor_neuron,,,,haltere_power,Crz,CoHP8,hemolymph_sensory,proboscis,left_mesothoracic_leg_nerve,08A,,Eh,,,,,,,,,,
,,central_complex_intrinsic_neuron,anterior_digestive_tract_internal_taste_sensillum_neuron,,,,haltere_steering,dARC1,crop_muscle,hind_leg,reproductive_tract,left_metathoracic_leg_nerve,08B,,FMRFa,,,,,,,,,,
,,central_complex_output_neuron,anterior_digestive_tract_multidendritic_neuron,,,,hormone_regulation,decaying_fruit_volatile,depressor_muscle,interocellar,retrocerebral_complex,left_occipital_nerve,09A,,Hug,,,,,,,,,,
,,centrifugal_lobula,ANXXX986,,,,hygrosensory,Dh31,dorsal_longitudinal_muscle,interommatidial,salivary_gland,left_pharyngeal_nerve,09B,,Ilp2,,,,,,,,,,
,,centrifugal_lobula_lobula_plate,ANXXX986s,,,,interoceptive,Dh44,dorsoventral_muscle,labellum,scape,left_pharyngeal_nerve_or_accessory_pharyngeal_nerve,10B,,Ilp3,,,,,,,,,,
,,centrifugal_lobula_lobula_plate_medulla,aorta_sensory_neuron,,,,jump_escape,direction,dorsoventral_muscle_linking_cervical_sclerite_and_condyle_1,labral_or_ventral_cibarial_sense_organ,unknown,left_posterior_dorsal_mesothoracic_nerve,11A,,Ilp5,,,,,,,,,,
,,centrifugal_lobula_medulla,APDN3,,,,leg_motor,dry,dorsoventral_muscle_linking_cervical_sclerite_and_condyle_2,labral_sense_organ,unknown_thoracic_abdominal,left_prosternal_nerve,11B,,ITP,,,,,,,,,,
,,centrifugal_lobula_plate,BiT,,,,mechanosensory,evaporation,external_taste_sensillum,maxillary_palp,unknown_thoracic_abdominal_segmental,left_prothoracic_accessory_nerve,12A,,Lk,,,,,,,,,,
,,centrifugal_medulla,corpus_allatum_neurosecretory_cell,,,,myomodulation,extend_coxa_trochanter_joint,femur_reductor_muscle,metathoracic_chordotonal_organ,ureter,left_prothoracic_chordotonal_nerve,12B,,Mip,,,,,,,,,,
,,centrifugal_medulla_lobula,digestive_tract_neurosecretory_cell,,,,neck_motor,extend_femur_tibia_joint,fishtrap_bristles,middle_leg,uterus,left_prothoracic_leg_nerve,13A,,Ms,,,,,,,,,,
,,centrifugal_medulla_lobula_lobula_plate,DN1a,,,,olfactory,extend_tibia_tarsus_joint,hair_plate,neck,wing,left_second_abdominal_nerve,13B,,Natalisin,,,,,,,,,,
